date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:52	42525/42525	---M--	200	added ('OK')	text/html	etag:%22a61d-52339b537e300%22	http://template.accent.itembridge.com/demo-1.html	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/demo-1.html	(from )
20:29:52	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Jan%202019%2002:29:52%20GMT	http://template.accent.itembridge.com/robots.txt		(from )
20:29:53	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%2257e-51e36c2dec580%22	http://template.accent.itembridge.com/images/favicon.ico	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/images/favicon.ico	(from http://template.accent.itembridge.com/demo-1.html)
20:29:55	218391/218391	---M--	200	added ('OK')	text/css	etag:%2235517-51e36c2dec580%22	http://template.accent.itembridge.com/css/bootstrap.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/bootstrap.css	(from http://template.accent.itembridge.com/demo-1.html)
20:29:56	5682/5682	---M--	200	added ('OK')	text/css	etag:%221632-51e36c2dec580%22	http://template.accent.itembridge.com/css/bootstrap-select.min.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/bootstrap-select.min.css	(from http://template.accent.itembridge.com/demo-1.html)
20:29:56	52190/52190	---M--	200	added ('OK')	text/css	etag:%22cbde-51e36c2dec580%22	http://template.accent.itembridge.com/css/font-awesome.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/font-awesome.css	(from http://template.accent.itembridge.com/demo-1.html)
20:29:58	12447/12447	---M--	200	added ('OK')	text/css	etag:%22309f-51e36c2dec580%22	http://template.accent.itembridge.com/css/dzsparallaxer.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/dzsparallaxer.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:00	53801/53801	---M--	200	added ('OK')	text/css	etag:%22d229-51e36c2dec580%22	http://template.accent.itembridge.com/css/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/jquery.mCustomScrollbar.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:01	600/600	---M--	200	added ('OK')	text/css	etag:%22258-51e36c2dec580%22	http://template.accent.itembridge.com/css/progress.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/progress.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:01	55789/55789	---M--	200	added ('OK')	text/css	etag:%22d9ed-51e36c2dec580%22	http://template.accent.itembridge.com/css/animate.min.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/animate.min.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:03	4895/4895	---M--	200	added ('OK')	text/css	etag:%22131f-51e36c2dec580%22	http://template.accent.itembridge.com/js/fancybox/source/jquery.fancybox.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/js/fancybox/source/jquery.fancybox.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:03	3630/3630	---M--	200	added ('OK')	text/css	etag:%22e2e-51e36c2dec580%22	http://template.accent.itembridge.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/owl.carousel.min.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:03	1055/1055	---M--	200	added ('OK')	text/css	etag:%2241f-51e36c2dec580%22	http://template.accent.itembridge.com/css/owl.theme.default.min.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/owl.theme.default.min.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:06	246766/246766	---M--	200	added ('OK')	text/css	etag:%223c3ee-5337e197be880%22	http://template.accent.itembridge.com/css/style.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/style.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:07	4282/4282	---M--	200	added ('OK')	text/css	etag:%2210ba-52079b4ccb700%22	http://template.accent.itembridge.com/css/variables-theme-1.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/variables-theme-1.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:07	1359/1359	---M--	200	added ('OK')	text/css	etag:%2254f-5207b0fb2de00%22	http://template.accent.itembridge.com/css/ie10.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/ie10.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:08	603/603	---M--	200	added ('OK')	text/css	etag:%2225b-51e36c2dec580%22	http://template.accent.itembridge.com/css/ie11.css	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/css/ie11.css	(from http://template.accent.itembridge.com/demo-1.html)
20:30:08	19754/19754	---M--	200	added ('OK')	text/html	etag:%224d2a-5208e82980900%22	http://template.accent.itembridge.com/index.html	C:/My%20Web%20Sites/can%20website/template.accent.itembridge.com/index.html	(from http://template.accent.itembridge.com/demo-1.html)
